,Fig. NO.,Part NO.,Description,Qty.,Remarks
0,7D000,Buy,TUBE - OIL,2,15/04/2013 15/04/2013
1,7D000,Buy,TUBE - OIL,2,15/04/2013 15/04/2013
2,7M037,Buy,BEARING ASSY - NEEDLE,2,15/04/2013 15/04/2013
3,7M037,Buy,BEARING ASSY - NEEDLE,2,15/04/2013 15/04/2013
4,7060A,Buy,SHAFT ASSY - OUTPUT,1,15/04/2013 15/04/2013
5,7060A,Buy,SHAFT ASSY - OUTPUT,1,15/04/2013 15/04/2013
6,7060A,Buy,SHAFT ASSY - OUTPUT,1,15/04/2013 15/04/2013
7,7060A,Buy,SHAFT ASSY - OUTPUT,1,15/04/2013 15/04/2013
8,7060B,Buy,SHAFT ASSY - OUTPUT,1,15/04/2013 15/04/2013
9,7060B,Buy,SHAFT ASSY - OUTPUT,1,15/04/2013 15/04/2013
10,7060B,Buy,SHAFT ASSY - OUTPUT,1,15/04/2013 15/04/2013
11,7060B,Buy,SHAFT ASSY - OUTPUT,1,15/04/2013 15/04/2013
