,Fig. NO.,Part NO.,Description,Qty.,Remarks
0,HB1,Buy,"BOLT, M5 X 25MM",8,15/04/2013 15/04/2013
1,HB1,Buy,Bolt,8,15/04/2013 15/04/2013
2,HB2,Buy,"BOLT, M8 X 22MM",4,15/04/2013 15/04/2013
3,HB2,Buy,Bolt,1,15/04/2013 15/04/2013
4,HB3,Buy,"BOLT, M6 X 14MM",3,15/04/2013 15/04/2013
5,HB3,Buy,Bolt,3,15/04/2013 15/04/2013
6,HN1,Buy,"NUT, M8",6,15/04/2013 15/04/2013
7,6A372,Buy,PLATE - CYLINDER BLOCK REAR,1,15/04/2013 - 15/07/2013 15/04/2013 - 15/07/2013
8,6A372,Buy,PLATE - CYLINDER BLOCK REAR,1,15/07/2013 15/07/2013
9,6A372,Buy,PLATE - CYLINDER BLOCK REAR,1,15/04/2013 - 15/07/2013 15/04/2013 - 15/07/2013
10,6A372,Buy,PLATE - CYLINDER BLOCK REAR,1,15/07/2013 15/07/2013
11,7A434,Buy,HEAT SHIELD,1,15/04/2013 15/04/2013
12,7A434,Buy,HEAT SHIELD,1,15/04/2013 15/04/2013
13,7A508,Buy,CYLINDER ASSY - CLUTCH SLAVE,1,15/04/2013 15/04/2013
14,7A508,Buy,Cylinder Assy - Clutch Slave,1,15/04/2013 15/04/2013
15,7A564,Buy,HUB AND BEARING - CLUTCH RELEASE,1,15/04/2013 15/04/2013
16,7A564,Buy,Hub And Bearing - Clutch Release,1,15/04/2013 15/04/2013
17,7B546,Buy,DISC ASSY - CLUTCH,1,15/04/2013 15/04/2013
18,7B546,Buy,"DISC ASSY - CLUTCH, ALTERNATIVE PART",1,15/04/2013 15/04/2013
19,7C604,Buy,ACTUATOR ASSY - CLUTCH,2,15/04/2013 - 20/02/2014 15/04/2013 - 20/02/2014
20,7C604,Buy,ACTUATOR ASSY - CLUTCH,2,20/02/201415/04/2013 20/02/201415/04/2013
21,7C604,Buy,ACTUATOR ASSY - CLUTCH,2,15/04/2013 - 20/02/2014 15/04/2013 - 20/02/2014
22,7C604,Buy,ACTUATOR ASSY - CLUTCH,2,20/02/201415/04/2013 20/02/201415/04/2013
23,7064A,Buy,SNAP RING,3,15/04/2013 15/04/2013
24,7064A,Buy,SNAP RING,3,15/04/2013 15/04/2013
25,7064B,Buy,SNAP RING,1,15/04/2013 15/04/2013
26,7064B,Buy,SNAP RING,1,15/04/2013 15/04/2013
27,7505,Buy,HOUSING - CLUTCH,1,15/04/2013 15/04/2013
28,7505,Buy,HOUSING - CLUTCH,1,15/04/2013 15/04/2013
29,7505,Buy,HOUSING - CLUTCH,1,15/04/2013 15/04/2013
30,7505,Buy,HOUSING - CLUTCH,1,15/04/2013 15/04/2013
31,7515A,Buy,FORK - CLUTCH RELEASE,1,15/04/2013 15/04/2013
32,7515A,Buy,FORK - CLUTCH RELEASE,1,15/04/2013 15/04/2013
33,7515B,Buy,FORK - CLUTCH RELEASE,1,15/04/2013 15/04/2013
34,7515B,Buy,FORK - CLUTCH RELEASE,1,15/04/2013 15/04/2013
