,Fig. NO.,Part NO.,Description,Qty.,Remarks
0,7J047A,Buy,DRUM ASSY,1,15/04/2013 15/04/2013
1,7J047A,Buy,DRUM ASSY,1,15/04/2013 15/04/2013
2,7J047B,Buy,DRUM ASSY,1,15/04/2013 15/04/2013
3,7J047B,Buy,DRUM ASSY,1,15/04/2013 15/04/2013
4,7J048A,Buy,GEAR,2,15/04/2013 15/04/2013
5,7J048A,Buy,GEAR,2,15/04/2013 15/04/2013
6,7J048B,Buy,GEAR,2,15/04/2013 15/04/2013
7,7J048B,Buy,GEAR,2,15/04/2013 15/04/2013
8,6397A,Buy,DOWEL - PIN,1,15/04/2013 15/04/2013
9,6397A,Buy,DOWEL - PIN,1,15/04/2013 15/04/2013
10,6397B,Buy,DOWEL - PIN,1,15/04/2013 15/04/2013
11,6397B,Buy,DOWEL - PIN,1,15/04/2013 15/04/2013
12,7230A,Buy,FORK - GEAR SHIFT,1,15/04/2013 15/04/2013
13,7230A,Buy,FORK - GEAR SHIFT,1,15/04/2013 15/04/2013
14,7230B,Buy,FORK - GEAR SHIFT,1,15/04/2013 15/04/2013
15,7230B,Buy,FORK - GEAR SHIFT,1,15/04/2013 15/04/2013
16,7230C,Buy,FORK - GEAR SHIFT,1,15/04/2013 15/04/2013
17,7230C,Buy,FORK - GEAR SHIFT,1,15/04/2013 15/04/2013
18,7230D,Buy,FORK - GEAR SHIFT,1,15/04/2013 15/04/2013
19,7230D,Buy,FORK - GEAR SHIFT,1,15/04/2013 15/04/2013
20,7230E,Buy,FORK - GEAR SHIFT,1,15/04/2013 15/04/2013
21,7230E,Buy,FORK - GEAR SHIFT,1,15/04/2013 15/04/2013
22,7230F,Buy,FORK - GEAR SHIFT,1,15/04/2013 15/04/2013
23,7230F,Buy,FORK - GEAR SHIFT,1,15/04/2013 15/04/2013
24,7240A,Buy,RAIL - SELECTOR FORK,1,15/04/2013 15/04/2013
25,7240A,Buy,RAIL - SELECTOR FORK,1,15/04/2013 15/04/2013
26,7240B,Buy,RAIL - SELECTOR FORK,1,15/04/2013 15/04/2013
27,7240B,Buy,RAIL - SELECTOR FORK,1,15/04/2013 15/04/2013
28,7240C,Buy,RAIL - SELECTOR FORK,1,15/04/2013 15/04/2013
29,7240C,Buy,RAIL - SELECTOR FORK,1,15/04/2013 15/04/2013
30,7240D,Buy,RAIL - SELECTOR FORK,1,15/04/2013 15/04/2013
31,7240D,Buy,RAIL - SELECTOR FORK,1,15/04/2013 15/04/2013
