,Fig. NO.,Part NO.,Description,Qty.,Remarks
0,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,15/04/2013 - 29/01/2015 15/04/2013 - 29/01/2015
1,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,15/04/2013 - 20/02/2014 15/04/2013 - 20/02/2014
2,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,14/04/2014 - 14/01/2015 14/04/2014 - 14/01/2015
3,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,29/01/2015 29/01/2015
4,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,01/07/2015 - 17/06/2016 01/07/2015 - 17/06/2016
5,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,20/02/2014 - 14/04/2014 20/02/2014 - 14/04/2014
6,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,14/01/2015 - 18/02/2015 14/01/2015 - 18/02/2015
7,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,18/02/2015 - 01/07/2015 18/02/2015 - 01/07/2015
8,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,17/06/2016 - 01/09/2016 17/06/2016 - 01/09/2016
9,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,01/09/2016 01/09/2016
10,7000,Buy,"TRANSAXLE ASSY - AUTOMATIC, ALTERNATE PART",1,01/09/2016 01/09/2016
11,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,15/04/2013 - 29/01/2015 15/04/2013 - 29/01/2015
12,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,15/04/2013 - 20/02/2014 15/04/2013 - 20/02/2014
13,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,14/04/2014 - 14/01/2015 14/04/2014 - 14/01/2015
14,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,29/01/2015 29/01/2015
15,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,20/02/2014 - 14/04/2014 20/02/2014 - 14/04/2014
16,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,14/01/2015 - 18/02/2015 14/01/2015 - 18/02/2015
17,7000,Buy,TRANSAXLE ASSY - AUTOMATIC,1,18/02/2015 - 01/07/2015 18/02/2015 - 01/07/2015
