,Fig. NO.,Part NO.,Description,Qty.,Remarks
0,HB1,Buy,"BOLT, M8 X 70MM",3,15/04/2013 15/04/2013
1,HB1,Buy,Bolt,3,15/04/2013 15/04/2013
2,HB2,Buy,"BOLT, M8 X 35MM",1,15/04/2013 15/04/2013
3,HB2,Buy,Bolt,1,15/04/2013 15/04/2013
4,HB2,Buy,Bolt,1,15/04/2013 15/04/2013
5,HB3,Buy,"BOLT, M6 X 20MM",5,15/04/2013 15/04/2013
6,HB3,Buy,Bolt,5,15/04/2013 15/04/2013
7,HB4,Buy,"BOLT, M5 X 25MM",8,15/04/2013 15/04/2013
8,HB4,Buy,Bolt,8,15/04/2013 15/04/2013
9,7A434,Buy,HEAT SHIELD,1,15/04/2013 15/04/2013
10,7A434,Buy,HEAT SHIELD,1,15/04/2013 15/04/2013
11,7B498A,Buy,SEAL,3,15/04/2013 15/04/2013
12,7B498A,Buy,Seal,3,15/04/2013 15/04/2013
13,7B498B,Buy,SEAL,2,15/04/2013 15/04/2013
14,7B498B,Buy,Seal,2,15/04/2013 15/04/2013
15,7C604,Buy,ACTUATOR ASSY - CLUTCH,2,15/04/2013 - 20/02/2014 15/04/2013 - 20/02/2014
16,7C604,Buy,ACTUATOR ASSY - CLUTCH,2,15/04/2013 15/04/2013
17,7C604,Buy,ACTUATOR ASSY - CLUTCH,2,20/02/2014 20/02/2014
18,7C604,Buy,ACTUATOR ASSY - CLUTCH,2,15/04/2013 - 20/02/2014 15/04/2013 - 20/02/2014
19,7C604,Buy,ACTUATOR ASSY - CLUTCH,2,15/04/2013 15/04/2013
20,7C604,Buy,ACTUATOR ASSY - CLUTCH,2,20/02/2014 20/02/2014
21,7F293,Buy,SOLENOID ASSY,1,15/04/2013 15/04/2013
22,7F293,Buy,SOLENOID ASSY,1,15/04/2013 15/04/2013
23,7G276,Buy,CONNECTOR,1,15/04/2013 15/04/2013
24,7G276,Buy,CONNECTOR,1,15/04/2013 15/04/2013
25,7H103,Buy,SENSOR ASSY - ENGINE SPEED,1,15/04/2013 15/04/2013
26,7H103,Buy,Sensor Assy - Engine Speed,1,15/04/2013 15/04/2013
27,7M101A,Buy,SENSOR ASSY,1,15/04/2013 15/04/2013
28,7M101A,Buy,Sensor Assy - Speed,1,15/04/2013 15/04/2013
29,7M101B,Buy,SENSOR ASSY,1,15/04/2013 15/04/2013
30,7M101B,Buy,Sensor Assy - Speed,1,15/04/2013 15/04/2013
31,7Z101A,Buy,SEAL - SPECIAL,1,15/04/2013 15/04/2013
32,7Z101A,Buy,SEAL - SPECIAL,1,15/04/2013 15/04/2013
33,7Z101B,Buy,SEAL - SPECIAL,1,15/04/2013 15/04/2013
34,7Z101B,Buy,SEAL - SPECIAL,1,15/04/2013 15/04/2013
35,7Z369,Buy,MODULE ASSY - ECU,1,15/04/2013 - 01/12/2014 15/04/2013 - 01/12/2014
36,7Z369,Buy,MODULE ASSY - ECU,1,01/12/2014 01/12/2014
37,7Z369,Buy,MODULE ASSY - ECU,1,15/04/2013 - 01/12/2014 15/04/2013 - 01/12/2014
38,7Z369,Buy,MODULE ASSY - ECU,1,01/12/2014 01/12/2014
