,Fig. NO.,Part NO.,Description,Qty.,Remarks
0,7D000,Buy,TUBE - OIL,1,15/04/2013 - 15/07/2013 15/04/2013 - 15/07/2013
1,7D000,Buy,TUBE - OIL,1,15/07/2013 15/07/2013
2,7D000,Buy,TUBE - OIL,1,15/04/2013 - 15/07/2013 15/04/2013 - 15/07/2013
3,7D000,Buy,TUBE - OIL,1,15/07/2013 15/07/2013
4,7M037A,Buy,BEARING ASSY - NEEDLE,1,15/04/2013 15/04/2013
5,7M037A,Buy,BEARING ASSY - NEEDLE,1,15/04/2013 15/04/2013
6,7M037B,Buy,BEARING ASSY - NEEDLE,1,15/04/2013 15/04/2013
7,7M037B,Buy,BEARING ASSY - NEEDLE,1,15/04/2013 15/04/2013
8,7Z018,Buy,RING - SYNCHRONIZER,1,15/04/2013 15/04/2013
9,7Z018,Buy,RING - SYNCHRONIZER,1,15/04/2013 15/04/2013
10,7017A,Buy,SHAFT - INPUT,1,15/04/2013 15/04/2013
11,7017A,Buy,SHAFT - INPUT,1,15/04/2013 15/04/2013
12,7017B,Buy,SHAFT - INPUT,1,15/04/2013 15/04/2013
13,7017B,Buy,BEARING,1,15/04/2013 15/04/2013
14,7025A,Buy,BEARING,1,15/04/2013 15/04/2013
15,7025A,Buy,BEARING,1,15/04/2013 15/04/2013
16,7025B,Buy,BEARING,1,15/04/2013 15/04/2013
17,7025B,Buy,BEARING,1,15/04/2013 15/04/2013
18,7048,Buy,SEAL,1,15/04/2013 - 15/07/2013 15/04/2013 - 15/07/2013
19,7048,Buy,SEAL,1,15/07/2013 15/07/2013
20,7048,Buy,SEAL,1,15/04/2013 - 15/07/2013 15/04/2013 - 15/07/2013
21,7048,Buy,SEAL,1,15/07/2013 15/07/2013
22,7052,Buy,SEAL,1,15/04/2013 - 18/02/2015 15/04/2013 - 18/02/2015
23,7052,Buy,SEAL,1,15/07/2013 15/07/2013
24,7052,Buy,SEAL,1,15/04/2013 - 18/02/2015 15/04/2013 - 18/02/2015
25,7052,Buy,SEAL,1,15/07/2013 15/07/2013
26,7917,Buy,SNAP RING,1,15/04/2013 15/04/2013
27,7917,Buy,SNAP RING,1,15/04/2013 15/04/2013
