,Fig. NO.,Part NO.,Description,Qty.,Remarks
0,HB1,Buy,BOLT,1,15/04/2013 15/04/2013
1,HB1,Buy,BOLT,1,15/04/2013 15/04/2013
2,7D392,Buy,RING GEAR,1,15/04/2013 15/04/2013
3,7D392,Buy,RING GEAR,1,15/04/2013 - 20/02/2014 15/04/2013 - 20/02/2014
4,7D392,Buy,RING GEAR,1,20/02/2014 20/02/2014
5,7D392,Buy,RING GEAR,1,15/04/2013 15/04/2013
6,7D392,Buy,RING GEAR,1,15/04/2013 - 20/02/2014 15/04/2013 - 20/02/2014
7,7D392,Buy,RING GEAR,1,20/02/2014 20/02/2014
8,7H150,Buy,TRIGGER WHEEL - SPEED SENSOR,1,15/04/2013 15/04/2013
9,7H150,Buy,TRIGGER WHEEL - SPEED SENSOR,1,15/04/2013 15/04/2013
10,4026,Buy,DIFFERENTIAL ASSY,1,15/04/2013 15/04/2013
11,4026,Buy,DIFFERENTIAL ASSY,1,15/04/2013 15/04/2013
12,4067,Buy,"SHIM - DIFFERENTIAL, 0.50MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
13,4067,Buy,"SHIM - DIFFERENTIAL, INSIDE DIAMETER, 0.55MM",1,15/04/2013 15/04/2013
14,4067,Buy,"SHIM - DIFFERENTIAL, 0.60MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
15,4067,Buy,"SHIM - DIFFERENTIAL, 0.65MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
16,4067,Buy,"SHIM - DIFFERENTIAL, 0.70MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
17,4067,Buy,"SHIM - DIFFERENTIAL, 0.75MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
18,4067,Buy,"SHIM - DIFFERENTIAL, 0.80MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
19,4067,Buy,"SHIM - DIFFERENTIAL, 0.85MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
20,4067,Buy,"SHIM - DIFFERENTIAL, 0.90MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
21,4067,Buy,"SHIM - DIFFERENTIAL, 0.95MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
22,4067,Buy,"SHIM - DIFFERENTIAL, 1.00MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
23,4067,Buy,"SHIM - DIFFERENTIAL, 1.05MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
24,4067,Buy,"SHIM - DIFFERENTIAL, 1.10MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
25,4067,Buy,"SHIM - DIFFERENTIAL, 1.15MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
26,4067,Buy,"SHIM - DIFFERENTIAL, 1.20MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
27,4067,Buy,"SHIM - DIFFERENTIAL, 0.50MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
28,4067,Buy,"SHIM - DIFFERENTIAL, INSIDE DIAMETER, 0.55MM",1,15/04/2013 15/04/2013
29,4067,Buy,"SHIM - DIFFERENTIAL, 0.60MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
30,4067,Buy,"SHIM - DIFFERENTIAL, 0.65MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
31,4067,Buy,"SHIM - DIFFERENTIAL, 0.70MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
32,4067,Buy,"SHIM - DIFFERENTIAL, 0.80MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
33,4067,Buy,"SHIM - DIFFERENTIAL, 0.85MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
34,4067,Buy,"SHIM - DIFFERENTIAL, 0.90MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
35,4067,Buy,"SHIM - DIFFERENTIAL, 1.00MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
36,4067,Buy,"SHIM - DIFFERENTIAL, 1.05MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
37,4067,Buy,"SHIM - DIFFERENTIAL, 1.10MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
38,4067,Buy,"SHIM - DIFFERENTIAL, 1.15MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
39,4067,Buy,"SHIM - DIFFERENTIAL, 1.20MM, INSIDE DIAMETER",1,15/04/2013 15/04/2013
40,4220,Buy,BEARING,1,15/04/2013 15/04/2013
41,4220,Buy,BEARING,1,15/04/2013 15/04/2013
